Ticker;Company Name;Time;LTFL;STFL;MIFL;WACC;COMPSIZE;ROA;GROWTH;FATA;NDTS;MTB;DIV;SIZEBD;INDEPD;CEODUO;BIGF;WOMEN;PNDM
ROSN.MM;NK Rosneft' PAO;2021;0,41;0,11;0,26;0,14;30,43;0,06;2,98;0,68;0,04;1,15;0,04;11;0,36;0;1;0,09;1
ROSN.MM;NK Rosneft' PAO;2020;0,44;0,12;0,29;0,06;30,36;0,01;-0,71;0,71;0,04;0,98;0,04;13;0,31;0;1;0;1
ROSN.MM;NK Rosneft' PAO;2019;0,39;0,12;0,27;0,12;30,19;0,06;0,02;0,72;0,05;1,06;0,06;12;0,33;0;1;0;0
ROSN.MM;NK Rosneft' PAO;2018;0,45;0,16;0,3;0,14;30,21;0,05;1,06;0,67;0,05;1,13;0,06;12;0,42;0;1;0;0
ROSN.MM;NK Rosneft' PAO;2017;0,31;0,36;0,32;0,08;30,13;0,03;-0,06;0,67;0,05;0,85;0,03;12;0,33;0;1;0;0
ROSN.MM;NK Rosneft' PAO;2016;0,37;0,31;0,28;0,08;30,04;0,02;-0,06;0,67;0,04;1,29;0,04;9;0,33;0;1;0;0
ROSN.MM;NK Rosneft' PAO;2015;0,44;0,24;0,34;0,07;29,9;0,04;0,19;0,63;0,05;0,93;0,03;9;0,22;0;1;0;0
NVTK.MM;Novatek PAO;2021;0,04;0,06;0,03;0,19;28,53;0,2;1,48;0,36;0,02;2,76;0,08;9;0,33;0;1;0,22;1
NVTK.MM;Novatek PAO;2020;0,1;0,03;0,05;0,09;28,35;0,04;-0,39;0,36;0,02;2,36;0,01;9;0,33;0;1;0,11;1
NVTK.MM;Novatek PAO;2019;0,08;0,01;0,04;0,11;28,33;0,55;-0,17;0,28;0,02;2,33;0,01;9;0,33;0;1;0;0
NVTK.MM;Novatek PAO;2018;0,17;0,01;0,05;0,16;27,83;0,16;0,38;0,35;0,03;3,96;0,02;9;0,33;0;1;0;0
NVTK.MM;Novatek PAO;2017;0,16;0,02;0,07;0,1;27,67;0,17;0,08;0,36;0,03;2,72;0,06;9;0,33;0;1;0;0
NVTK.MM;Novatek PAO;2016;0,2;0,08;0,08;0,11;27,59;0,29;0,09;0,35;0,04;3,71;0,06;9;0,33;0;1;0;0
NVTK.MM;Novatek PAO;2015;0,37;0,2;0,16;0,1;27,5;0,09;0,12;0,39;0,02;4,21;0,08;9;0,33;0;1;0;0
LKOH.MM;NK Lukoil PAO;2021;0,13;0,02;0,11;0,17;29,56;0,12;2,48;0,69;0,07;1,01;0,08;11;0,55;0;1;0,09;1
LKOH.MM;NK Lukoil PAO;2020;0,12;0,02;0,12;0,07;29,42;0;-0,66;0,78;0,07;0,87;0,1;11;0,55;0;1;0,09;1
LKOH.MM;NK Lukoil PAO;2019;0,1;0,03;0,09;0,13;29,41;0,11;0,06;0,75;0,07;1,11;0,05;11;0,55;0;1;0,09;0
LKOH.MM;NK Lukoil PAO;2018;0,1;0,02;0,1;0,16;29,38;0,11;0,52;0,73;0,06;0,92;0,04;11;0,45;0;1;0,09;0
LKOH.MM;NK Lukoil PAO;2017;0,12;0,04;0,13;0,1;29,28;0,08;0,21;0,76;0,06;0,81;0,04;11;0,45;0;1;0,09;0
LKOH.MM;NK Lukoil PAO;2016;0,17;0,02;0,15;0,09;29,24;0,04;-0,1;0,76;0,06;0,91;0,04;11;0,45;0;1;0,09;0
LKOH.MM;NK Lukoil PAO;2015;0,2;0,02;0,23;0,09;29,24;0,06;0,13;0,75;0,07;0,62;0,03;11;0,27;0;1;0;0
GMKN.MM;GMK Noril'skiy Nikel' PAO;2021;0,7;0,31;0,16;0,1;28,19;0,31;0,13;0,67;0,04;12,81;0,59;13;0,46;1;1;0,08;1
GMKN.MM;GMK Noril'skiy Nikel' PAO;2020;0,71;0,02;0,15;0,06;28,06;0,19;0,41;0,63;0,05;12,61;0,95;13;0,46;1;1;0,08;1
GMKN.MM;GMK Noril'skiy Nikel' PAO;2019;0,7;0,23;0,15;0,16;27,82;0,34;0,33;0,74;0,05;12,81;1,12;13;0,23;1;1;0,08;0
GMKN.MM;GMK Noril'skiy Nikel' PAO;2018;0,72;0,06;0,2;0,16;27,69;0,19;0,72;0,8;0,05;9,21;0,98;13;0,46;1;1;0,08;0
GMKN.MM;GMK Noril'skiy Nikel' PAO;2017;0,66;0,16;0,21;0,12;27,59;0,13;-0,1;0,82;0,04;6,9;0,71;13;0,31;1;1;0,08;0
GMKN.MM;GMK Noril'skiy Nikel' PAO;2016;0,66;0,13;0,2;0,12;27,63;0,17;0,02;0,68;0,03;6,91;0,37;13;0,38;1;1;0,08;0
GMKN.MM;GMK Noril'skiy Nikel' PAO;2015;0,76;0,33;0,27;0,09;27,61;0,12;0,16;0,61;0,03;8,87;0,94;14;0,36;1;1;0,07;0
SIBN.MM;Gazprom Neft' PAO;2021;0,21;0,08;0,16;0,13;29,23;0,11;2,64;0,67;0,05;1,1;0,03;13;0;0;1;0,15;1
SIBN.MM;Gazprom Neft' PAO;2020;0,28;0,03;0,24;0,06;29,08;0,03;-0,66;0,74;0,05;0,72;0,04;13;0;0;1;0,08;1
SIBN.MM;Gazprom Neft' PAO;2019;0,27;0,02;0,21;0,09;28,97;0,11;-0,03;0,71;0,05;0,97;0,11;13;0,15;0;1;0,08;0
SIBN.MM;Gazprom Neft' PAO;2018;0,28;0,05;0,24;0,12;28,89;0,12;0,53;0,71;0,05;0,89;0,04;13;0,15;0;1;0,08;0
SIBN.MM;Gazprom Neft' PAO;2017;0,27;0,08;0,28;0,07;28,71;0,1;0,19;0,74;0,05;0,75;0,03;13;0,15;0;1;0,08;0
SIBN.MM;Gazprom Neft' PAO;2016;0,3;0,06;0,31;0,07;28,57;0,08;0,14;0,72;0,04;0,75;0;13;0,15;0;1;0,08;0
SIBN.MM;Gazprom Neft' PAO;2015;0,37;0,11;0,4;0,07;28,54;0,05;0,02;0,68;0,04;0,63;0,03;13;0,15;0;1;0,08;0
PLZL.MM;Polyus PJSC;2021;0,44;0,13;0,11;0,03;27,11;0,3;-0,01;0,68;0,06;6,89;0,34;9;0,44;1;1;0,11;1
PLZL.MM;Polyus PJSC;2020;0,59;0,1;0,11;0,03;27,01;0,23;0,57;0,65;0,07;11,91;0,38;9;0,44;1;1;0,11;1
PLZL.MM;Polyus PJSC;2019;0,71;0,28;0,23;0,07;26,97;0,27;0,43;0,64;0,06;8,51;0,36;9;0,44;1;1;0,11;0
